district,period,employment_index,reform_active,wage_pressure
1,2017,4.3392844943600535,0,-0.37849034584094304
1,2018,4.506247678983889,0,1.9090242438711433
1,2019,4.315795244101043,0,-2.213704794210269
1,2020,4.40643607605267,0,-0.735799534633322
1,2021,4.469498756026464,0,0.16303322617771743
1,2022,4.464451467709102,0,-0.8858302218838512
1,2023,4.4923219172574145,0,-0.2550859165700593
1,2024,4.545578012791093,0,-0.8976371164008543
2,2017,3.8981400838311893,0,-0.31900431310515265
2,2018,3.860651395261402,0,-1.0980475125308913
2,2019,3.9590942253321435,0,-0.13602153009147636
2,2020,3.8962645874946378,0,-1.5416908707082486
2,2021,3.9418652171705175,0,-0.3189827623867895
2,2022,3.940008756221531,0,-1.6899941209316516
2,2023,4.0863220234118565,0,0.1490441641199113
2,2024,4.084067491592821,0,-0.053150604676392925
3,2017,4.129827392044958,0,1.6728393342721253
3,2018,4.0262803783887415,0,-0.47193804106623083
3,2019,4.0558006659780785,0,-0.5183363348139941
3,2020,4.046770381396378,0,-1.2006484660494612
3,2021,4.086947398715301,0,-0.34997797615480936
3,2022,4.085254765140791,0,0.06091265656041229
3,2023,4.172852362577783,0,0.10502458416771361
3,2024,4.123392891106971,0,-1.6595401622783812
4,2017,3.8075784603589984,0,1.745374010459383
4,2018,3.7956473551491317,0,-0.0781115278450167
4,2019,3.826886962955349,0,0.5322540274859014
4,2020,3.8899947721625163,0,0.5450271544398072
4,2021,3.9024244962527277,0,0.5724724137313749
4,2022,3.909622186726307,0,-0.1377098933780362
4,2023,3.8941593151718394,0,0.24792025938475012
4,2024,3.9835266920630494,0,1.0523090182975845
5,2017,3.8766588889724005,0,2.0358083635830093
5,2018,3.8988287291779997,0,0.4337543922215295
5,2019,3.839871093479411,0,-0.23262962926081568
5,2020,3.784568175564088,0,-0.20660197088248772
5,2021,3.8897014098301335,1,1.5306680059508295
5,2022,3.7893847044915496,1,-0.0010832893805388496
5,2023,3.8988960692993464,1,0.14151171728086076
5,2024,3.8416156932598957,1,-0.1904379494157396
6,2017,3.935572093897334,0,1.207945995999663
6,2018,3.849449070042682,0,-2.096575209406504
6,2019,3.892206371493144,0,-0.3849812962384831
6,2020,4.00153139370874,0,1.4594748990204311
6,2021,3.8748006054902655,1,0.5596456997345168
6,2022,3.9058552555379067,1,0.017789051900995414
6,2023,3.8658667651861505,1,-1.2391867016642242
6,2024,4.002250661957436,1,-0.9158375514951929
7,2017,3.8816999973977926,0,-1.1801526621218401
7,2018,3.93641882190695,0,0.07169349795732341
7,2019,3.882319590731493,0,-0.9806835713000397
7,2020,3.9223130625698133,0,-0.5475878262799412
7,2021,3.980978008755752,0,0.26322216489860023
7,2022,4.025914286131871,0,0.2261792054488807
7,2023,3.9827159247064463,0,-0.32446719810298585
7,2024,4.0023215963165155,0,0.5145014261587944
8,2017,3.964026099815882,0,-0.970822999722255
8,2018,4.035999687498796,0,-0.4844488656234512
8,2019,4.125952597327786,0,0.41050433083875737
8,2020,4.081903949899022,0,2.20249932619613
8,2021,4.028626322925931,0,0.7808052194116681
8,2022,4.068105774081534,0,0.1033018324551782
8,2023,4.087356344504198,0,-0.5004548698206466
8,2024,4.140656691085889,0,0.5056194870716382
9,2017,3.898873789934531,0,-0.5134684824426449
9,2018,4.005973270852485,0,0.7572752551061456
9,2019,4.020930229785326,0,-0.9627160784539324
9,2020,4.132993310820312,0,1.9567452188088985
9,2021,4.066708783452728,0,0.628648754111545
9,2022,4.123616799015449,0,1.696190595058417
9,2023,4.015380464046233,0,-0.8911762688301758
9,2024,4.073483865431363,0,-0.06145955878257728
10,2017,4.132300522315585,0,0.09134873003898522
10,2018,4.204475649038284,0,0.841182728611477
10,2019,4.185045025709779,0,-0.47156636448409295
10,2020,4.2599063505004695,0,0.330650067139873
10,2021,4.2181885471213905,1,0.8993948109021616
10,2022,4.220740609726658,1,0.5583737325548708
10,2023,4.240800069733342,1,-0.4141302152823831
10,2024,4.326896082466876,1,1.2065201514606685
11,2017,4.223410477074898,0,-0.6729708356610262
11,2018,4.1768857017544185,0,-0.7532903680327068
11,2019,4.334631008742322,0,0.6751732285880571
11,2020,4.10068706678839,0,-2.8521261535698277
11,2021,4.224111060447212,1,-0.6332679039513367
11,2022,4.354966848701291,1,1.6430856667052065
11,2023,4.3085091092201475,1,-0.5722566794856931
11,2024,4.324445950160692,1,1.0375008312651741
12,2017,3.736364165764888,0,1.0449297055464164
12,2018,3.7939647048941247,0,1.2500105745835528
12,2019,3.8511823842256683,0,-0.07920497649432441
12,2020,3.832519082637758,0,-0.5628641540226741
12,2021,3.832203033964615,0,-0.7617380181796637
12,2022,3.8727817762352434,0,-1.445311243978564
12,2023,3.931775895770657,0,0.5471978919823434
12,2024,3.8974784042635386,0,0.3729085487800058
13,2017,4.179930525796236,0,1.3769203719973255
13,2018,4.127487080821799,0,-0.35385205011317333
13,2019,4.072577192156213,0,-1.4161703671642427
13,2020,4.18754217727271,0,-0.0190983724157247
13,2021,4.088682594056038,0,-0.854227204215691
13,2022,4.145846505864131,0,-0.4512703527062556
13,2023,4.122830512339529,0,-0.5757545543549714
13,2024,4.305184103547132,0,2.7083186979500606
14,2017,3.9490419307129923,0,0.9656778147100408
14,2018,3.9969070307559034,0,0.41637355757805233
14,2019,3.9404345407938024,0,-0.35024958423766495
14,2020,3.923544117947391,0,-1.3540092730452793
14,2021,3.895800718614244,1,-0.5739703386455064
14,2022,3.9728701552666266,1,-1.993187508841814
14,2023,3.9077269948763957,1,-1.3990572539645556
14,2024,4.026063153644683,1,0.18972432942070253
15,2017,4.200585143127053,0,-0.36644311768620896
15,2018,4.214118227614521,0,-0.4330015579464992
15,2019,4.241128776460936,0,-0.2973639950666644
15,2020,4.331618291115564,0,1.2617140123689459
15,2021,4.293712811276202,0,1.1737392540893734
15,2022,4.381733323119954,0,1.0290086625823007
15,2023,4.287441467823937,0,-0.7727466699393686
15,2024,4.380422827428854,0,1.0901903713718415
16,2017,3.8401287256076864,0,0.19038349484578312
16,2018,3.7273245262649617,0,-0.20287565254293705
16,2019,3.82123729301658,0,2.090976335397966
16,2020,3.825543997131616,0,0.3573036007387766
16,2021,3.825411638158133,0,-0.7389633785365459
16,2022,3.8660680524928006,0,0.9116187452010808
16,2023,3.9741173962857803,0,1.2652587058979
16,2024,3.86516882286002,0,-0.148930211470655
17,2017,4.306677762670736,0,1.8615875001057984
17,2018,4.311331606322515,0,2.067422924048432
17,2019,4.275087177080193,0,0.5923528260397802
17,2020,4.292630373995349,0,0.5406995529760065
17,2021,4.341838638467799,0,1.7346519850835014
17,2022,4.331269738545647,0,-0.6477306422210825
17,2023,4.328911277359337,0,1.5250882375939465
17,2024,4.414245324143437,0,2.0327703166599256
18,2017,4.327244519400233,0,0.13625528971615836
18,2018,4.252704520863372,0,-1.1323960937964392
18,2019,4.344051554305309,0,0.4800443071858088
18,2020,4.369441819456783,0,2.2893383413407977
18,2021,4.362775195077392,0,1.0460846783536153
18,2022,4.453107549480579,0,0.44778451337380265
18,2023,4.48766180047287,0,1.4440557023921188
18,2024,4.422293525562435,0,1.0238933984254062
19,2017,4.053612845387436,0,-1.5151902153889816
19,2018,4.133434517084362,0,0.9724428688589812
19,2019,4.168535329190304,0,-0.3964170409154342
19,2020,4.18465380605898,0,0.8980447555714705
19,2021,4.269044569142041,0,0.5529808230068642
19,2022,4.219359214276917,0,0.48097569885399305
19,2023,4.185201473000652,0,-0.9423739318166252
19,2024,4.239982526203372,0,0.06793896872544167
20,2017,3.7060837958005144,0,1.3929253042612115
20,2018,3.7039562755467643,0,-0.327788669805048
20,2019,3.790655488501774,0,0.3171633729064166
20,2020,3.726417209079829,0,-0.4879392328029092
20,2021,3.7743513778810494,0,-0.7503815735165924
20,2022,3.8170718732333055,0,0.5171456686877773
20,2023,3.8480069493292963,0,0.6349712537284474
20,2024,3.810459983090003,0,-0.6155224482730507
21,2017,4.125119449884113,0,1.0769722855612822
21,2018,4.107914594571298,0,-1.081101992071395
21,2019,4.162271405050098,0,-0.1267719464922765
21,2020,4.172612382192167,0,0.03903076406881092
21,2021,4.189582318821142,0,0.19726019850760731
21,2022,4.236350421491733,0,-0.9124215101206966
21,2023,4.159495068482673,0,-1.4573486036147199
21,2024,4.16160528702129,0,-1.6984003130431278
22,2017,4.263994331035353,0,0.5167788924314783
22,2018,4.338884903771712,0,0.4577484422479861
22,2019,4.393034661319296,0,1.0846618096885459
22,2020,4.26690306848194,0,-0.2876304897073797
22,2021,4.341947051794698,0,0.354222390431444
22,2022,4.443758063329918,0,2.0246825120018785
22,2023,4.358030974924237,0,-0.8430603888898172
22,2024,4.397745430308689,0,0.921110350133152
23,2017,3.8206481995051593,0,-0.867597461834683
23,2018,3.8667111289274767,0,1.5924701930377672
23,2019,3.874934494867713,0,-0.6556459743455968
23,2020,3.832444298884751,0,-0.5906585721894764
23,2021,3.8465405286880414,0,-0.9907381611712348
23,2022,3.926531183614702,0,1.3963117627776958
23,2023,3.920663867640199,0,-1.5888092339170328
23,2024,3.9566451175713864,0,0.25915716299111397
24,2017,3.667220652790882,0,0.8669696313274394
24,2018,3.6927720076429655,0,0.17498715206956128
